"R0000100","R0004500","R0005500","R0005700","R0005900","R0006000","R0006800","R0007200","R0007500","R0009100","R0011600","R0011800","R0012800","R0013700","R0014100","R0441100","R0443000","R0443300","R0443900","R0444300","R0444400","R0444500","R0444600","R0446200","R0446500","R0450100","R0457200","R0492100","R0492300","R0492500","R0492700","R0492900","R0493100","R0493300","R0493500","R0493700","R0493900","R0494100","R0499200","R0527200","R0527500","R0529400"
1,2,-4,-4,-4,-4,-4,-4,-4,6,6,2,1,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,-4,1,1,7,0,0,-4,0,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,3,3,3,4,2,4,3,1,3,3,2,0,0,0,1
3,2,-4,-4,-4,-4,-4,-4,-4,6,4,2,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,3,2,4,1,3,2,2,3,2,3,3,3,0,0,1,0
4,-4,0,1,-2,1,0,-4,0,3,3,0,2,-4,-4,-4,1,-4,1,-4,-4,-4,-4,1,1,-4,3,1,1,1,1,1,1,1,1,3,1,1,0,0,1,0
5,-4,1,0,-4,0,0,-4,0,6,7,2,3,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,4,3,3,4,4,2,2,2,3,3,1,0,0,0,0
6,-4,0,0,-4,0,0,-4,0,4,6,0,1,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,3,1,1,1,1,1,-4,1,1,1,1,1,0,0,0,0
7,2,-4,-4,-4,-4,-4,-4,-4,-4,7,3,1,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,3,2,1,1,2,1,2,4,2,4,3,2,0,0,0,1
8,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,0,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,1,3,3,1,1,2,1,3,2,2,0,0,1,0
9,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,1,0,-4,-4,-4,0,-4,-4,-4,-4,-4,1,-4,3,1,4,2,1,2,2,2,2,3,3,2,0,0,1,0
10,-4,0,1,11,0,0,-4,0,6,7,3,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,1,3,3,1,3,1,2,2,2,2,3,0,0,0,1
11,-4,0,0,-4,0,0,-4,0,6,2,3,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,1,-4,3,1,3,1,3,1,2,2,1,3,1,1,0,0,1,1
12,-4,0,1,6,0,0,-4,0,6,7,5,2,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,1,4,2,3,4,2,3,1,3,1,3,4,0,0,0,-4
13,2,-4,-4,-4,-4,-4,-4,-4,6,5,2,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,-4,2,2,2,1,2,1,1,1,1,2,1,0,0,0,1
14,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,2,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,2,1,-4,3,1,3,1,1,3,1,3,2,3,3,1,0,0,0,1
15,-4,0,0,-4,0,0,-4,0,6,0,5,4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,1,1,2,2,4,1,3,1,1,2,2,2,0,0,0,1
16,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,1,-4,-4,-4,0,-4,-4,-4,-4,2,0,-4,3,1,4,4,3,3,1,1,2,3,3,2,1,0,1,1
17,3,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,2,1,1,1,1,1,1,1,3,2,2,0,0,0,1
18,-4,1,1,1,1,0,-4,0,6,1,2,2,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,-4,1,3,1,1,2,1,1,2,2,4,1,0,0,1,1
19,-4,1,1,10,1,0,-4,0,6,3,2,1,-4,-4,-4,0,-4,1,-4,-4,-4,-4,1,0,-4,3,1,4,2,1,3,1,1,1,3,2,4,0,1,1,1
20,-4,1,1,-2,1,0,-4,0,6,-4,-4,-4,1,1,-4,-4,-4,0,-4,-4,-4,-4,-4,1,-4,3,4,2,2,4,3,4,4,3,4,4,3,0,0,0,1
21,-4,0,1,8,0,0,-4,0,3,3,2,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
22,-4,0,0,-4,0,0,-4,0,6,4,1,4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,2,3,3,3,1,1,1,1,3,3,2,0,0,0,-4
23,-4,0,1,-2,0,0,-4,0,2,4,1,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,1,-4,3,1,4,3,1,1,4,1,1,1,4,3,0,0,0,0
24,-4,0,0,-4,0,0,-4,0,6,4,5,4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,-4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
25,-4,0,1,0,0,1,3,0,2,5,2,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,1,-4,1,2,3,3,1,2,3,1,1,1,3,2,0,0,1,0
26,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,1,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,2,1,1,1,1,1,1,1,3,2,2,0,0,1,0
27,1,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
28,2,-4,-4,-4,-4,-4,-4,-4,6,2,5,3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
29,1,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,0,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,3,1,3,2,2,1,2,2,2,2,2,2,0,0,1,0
30,1,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,1,0,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,2,1,1,1,1,1,1,1,2,2,2,0,0,1,1
31,1,-4,-4,-4,-4,-4,-4,-4,6,4,2,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,2,1,1,-4,1,4,2,2,4,3,2,1,4,3,3,0,0,1,0
32,-4,1,1,11,1,0,-4,0,6,3,0,2,-4,-4,-4,0,-4,1,-4,-4,-4,-4,-4,0,-4,3,2,4,2,4,3,1,3,2,3,-4,3,1,0,1,1
33,-4,0,1,5,0,0,-4,0,4,-4,-4,-4,0,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
34,2,-4,-4,-4,-4,-4,-4,-4,6,2,4,1,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,1,0,-4,-4,4,1,2,2,1,2,1,1,2,4,4,0,0,0,0
35,1,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,0,0,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,3,3,3,3,3,4,1,4,3,3,3,3,0,0,1,0
36,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,-4,-4,-4,0,-4,0,-4,-4,-4,-4,1,1,-4,1,1,2,1,2,1,4,2,1,1,3,3,0,0,0,-4
37,2,-4,-4,-4,-4,-4,-4,-4,3,-4,-4,-4,-4,1,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,2,1,2,1,1,1,2,1,3,2,2,0,0,0,1
38,2,-4,-4,-4,-4,-4,-4,-4,6,6,2,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,1,1,-4,3,1,4,1,1,2,1,1,1,4,4,2,0,0,0,0
39,2,-4,-4,-4,-4,-4,-4,-4,6,5,3,1,-4,0,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,3,2,2,1,1,2,2,3,3,3,2,0,0,1,0
40,2,-4,-4,-4,-4,-4,-4,-4,6,5,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,1,-4,3,1,1,1,1,1,1,2,2,4,2,0,0,0,0
41,2,-4,-4,-4,-4,-4,-4,-4,6,4,0,2,-4,-4,-4,0,-4,1,2,1,3,2,-4,1,-4,-4,3,1,1,1,2,1,2,1,3,3,3,0,0,0,1
42,-4,1,1,7,0,0,-4,0,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
43,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
44,-4,1,1,-2,0,1,1,1,6,4,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
45,-4,0,1,6,0,0,-4,0,6,6,1,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,-4,1,1,0,0,0,-4,0,6,7,2,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
47,2,-4,-4,-4,-4,-4,-4,-4,6,5,0,1,-4,-4,-4,1,-4,1,-4,-4,-4,-4,1,0,-4,3,1,2,2,1,1,2,1,1,2,1,1,0,0,0,0
48,2,-4,-4,-4,-4,-4,-4,-4,6,4,0,1,-4,-4,-4,1,-4,1,-4,-4,-4,-4,1,0,-4,1,1,4,1,2,3,1,4,2,3,2,3,0,0,0,-4
49,-4,1,1,7,0,0,-4,0,6,2,4,2,-4,-4,-4,0,-4,0,-4,-4,-4,-4,-4,0,-4,3,2,1,2,1,1,3,2,2,3,3,2,0,0,0,1
50,2,-4,-4,-4,-4,-4,-4,-4,6,5,0,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
51,-4,1,1,3,0,0,-4,0,6,5,4,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,-4,1,1,-2,0,0,-4,0,6,3,4,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,3,-4,-4,-4,-4,-4,-4,-4,6,5,4,1,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,1,0,-4,3,2,1,3,3,3,3,2,3,3,2,3,0,0,0,0
54,-4,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,3,1,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,2,2,2,2,2,2,2,3,2,3,0,0,0,0
55,-4,0,1,0,0,0,-4,0,6,3,5,2,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,1,3,3,3,4,4,4,1,4,1,2,4,0,1,0,0
56,-4,1,1,0,1,0,-4,0,3,4,5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,2,-4,-4,-4,-4,-4,-4,-4,6,3,5,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
58,-4,1,1,-2,0,1,1,0,6,2,3,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
59,-4,1,1,0,0,0,-4,0,6,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
60,-4,0,1,8,0,0,-4,1,6,2,0,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
61,-4,1,0,-4,0,0,-4,0,6,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,0,-4,3,1,1,1,1,1,4,3,1,1,2,1,0,1,1,1
62,1,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,1,0,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,2,2,1,1,1,1,3,1,1,2,4,1,0,0,1,0
63,-4,0,0,-4,0,0,-4,0,6,5,3,1,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-4,0,-4,3,2,2,2,2,1,1,1,2,4,1,2,0,0,1,0
64,2,-4,-4,-4,-4,-4,-4,-4,6,-4,-4,-4,2,0,1,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,3,1,1,1,2,1,1,1,1,1,1,1,0,0,1,0
