Date,SP500
12/1/77,93.82
1/1/78,90.25
2/1/78,88.98
3/1/78,88.82
4/1/78,92.71
5/1/78,97.41
6/1/78,97.66
7/1/78,97.19
8/1/78,103.9
9/1/78,103.9
10/1/78,100.6
11/1/78,94.71
12/1/78,96.11
1/1/79,99.71
2/1/79,98.23
3/1/79,100.1
4/1/79,102.1
5/1/79,99.73
6/1/79,101.7
7/1/79,102.7
8/1/79,107.4
9/1/79,108.6
10/1/79,104.5
11/1/79,103.7
12/1/79,107.8
1/1/80,110.9
2/1/80,115.3
3/1/80,104.7
4/1/80,103
5/1/80,107.7
6/1/80,114.6
7/1/80,119.8
8/1/80,123.5
9/1/80,126.5
10/1/80,130.2
11/1/80,135.7
12/1/80,133.5
1/1/81,133
2/1/81,128.4
3/1/81,133.2
4/1/81,134.4
5/1/81,131.7
6/1/81,132.3
7/1/81,129.1
8/1/81,129.6
9/1/81,118.3
10/1/81,119.8
11/1/81,122.9
12/1/81,123.8
1/1/82,117.3
2/1/82,114.5
3/1/82,110.8
4/1/82,116.3
5/1/82,116.4
6/1/82,109.7
7/1/82,109.4
8/1/82,109.7
9/1/82,122.4
10/1/82,132.7
11/1/82,138.1
12/1/82,139.4
1/1/83,144.3
2/1/83,146.8
3/1/83,151.9
4/1/83,157.7
5/1/83,164.1
6/1/83,166.4
7/1/83,167
8/1/83,162.4
9/1/83,167.2
10/1/83,167.7
11/1/83,165.2
12/1/83,164.4
1/1/84,166.4
2/1/84,157.3
3/1/84,157.4
4/1/84,157.6
5/1/84,156.6
6/1/84,153.1
7/1/84,151.1
8/1/84,164.4
9/1/84,166.1
10/1/84,164.8
11/1/84,166.3
12/1/84,164.5
1/1/85,171.6
2/1/85,180.9
3/1/85,179.4
4/1/85,180.6
5/1/85,184.9
6/1/85,188.9
7/1/85,192.5
8/1/85,188.3
9/1/85,184.1
10/1/85,186.2
11/1/85,197.5
12/1/85,207.3
1/1/86,208.2
2/1/86,219.4
3/1/86,232.3
4/1/86,238
5/1/86,238.5
6/1/86,245.3
7/1/86,240.2
8/1/86,245
9/1/86,238.3
10/1/86,237.4
11/1/86,245.1
12/1/86,248.6
1/1/87,264.5
2/1/87,280.9
3/1/87,292.5
4/1/87,289.3
5/1/87,289.1
6/1/87,301.4
7/1/87,310.1
8/1/87,329.4
9/1/87,318.7
10/1/87,280.2
11/1/87,245
12/1/87,241
1/1/88,250.5
2/1/88,258.1
3/1/88,265.7
4/1/88,262.6
5/1/88,256.1
6/1/88,270.7
7/1/88,269.1
8/1/88,263.7
9/1/88,268
10/1/88,277.4
11/1/88,271
12/1/88,276.5
1/1/89,285.4
2/1/89,294
3/1/89,292.7
4/1/89,302.3
5/1/89,313.9
6/1/89,323.7
7/1/89,331.9
8/1/89,346.6
9/1/89,347.3
10/1/89,347.4
11/1/89,340.2
12/1/89,348.6
1/1/90,339.97
2/1/90,330.45
3/1/90,338.46
4/1/90,338.18
5/1/90,350.25
6/1/90,360.39
7/1/90,360.03
8/1/90,330.75
9/1/90,315.41
10/1/90,307.12
11/1/90,315.29
12/1/90,328.75
1/1/91,325.49
2/1/91,362.26
3/1/91,372.28
4/1/91,379.68
5/1/91,377.99
6/1/91,378.29
7/1/91,380.23
8/1/91,389.4
9/1/91,387.2
10/1/91,386.88
11/1/91,385.92
12/1/91,388.51
1/1/92,416.08
2/1/92,412.56
3/1/92,407.36
4/1/92,407.41
5/1/92,414.81
6/1/92,408.27
7/1/92,415.05
8/1/92,417.93
9/1/92,418.48
10/1/92,412.5
11/1/92,422.84
12/1/92,435.64
1/1/93,435.23
2/1/93,441.7
3/1/93,450.16
4/1/93,443.08
5/1/93,445.25
6/1/93,448.06
7/1/93,447.29
8/1/93,454.13
9/1/93,459.24
10/1/93,463.9
11/1/93,462.89
12/1/93,465.95
1/1/94,472.99
2/1/94,471.58
3/1/94,463.81
4/1/94,447.23
5/1/94,450.9
6/1/94,454.83
7/1/94,451.4
8/1/94,464.24
9/1/94,466.96
10/1/94,463.81
11/1/94,461.01
12/1/94,455.19
1/1/95,465.25
2/1/95,481.92
3/1/95,493.15
4/1/95,507.91
5/1/95,523.81
6/1/95,539.35
7/1/95,557.37
8/1/95,559.11
9/1/95,578.77
10/1/95,582.92
11/1/95,595.53
12/1/95,614.57
1/1/96,614.42
2/1/96,649.54
3/1/96,647.07
4/1/96,647.17
5/1/96,661.23
6/1/96,668.5
7/1/96,644.07
8/1/96,662.68
9/1/96,674.88
10/1/96,701.46
11/1/96,735.67
12/1/96,743.25
1/1/97,766.22
2/1/97,798.39
3/1/97,792.16
4/1/97,763.93
5/1/97,833.09
6/1/97,876.29
7/1/97,925.29
8/1/97,927.24
9/1/97,937.02
10/1/97,951.16
11/1/97,938.92
12/1/97,962.37
1/1/98,963.36
2/1/98,1023.74
3/1/98,1076.83
4/1/98,1112.2
